Date,Volume,VWAP,Open,Close,High,Low,Trades
01-03-2024 00:00:00 EST,31966152.0,177.8613,176.75,178.22,178.725,176.07,406699
04-03-2024 00:00:00 EST,37381520.0,178.5391,177.53,177.58,180.14,177.49,443556
05-03-2024 00:00:00 EST,37215693.0,174.4671,176.93,174.12,176.93,173.303,448859
06-03-2024 00:00:00 EST,32090926.0,174.3209,175.54,173.51,176.46,173.26,389497
07-03-2024 00:00:00 EST,33934783.0,176.4308,174.83,176.82,177.99,173.72,379857
08-03-2024 00:00:00 EST,37772242.0,176.2118,176.44,175.35,178.785,174.33,443160
11-03-2024 00:00:00 EDT,28484777.0,172.4231,174.31,171.96,174.47,171.47,409871
12-03-2024 00:00:00 EDT,36590204.0,175.3072,173.5,175.39,176.76,171.98,416721
13-03-2024 00:00:00 EDT,30705600.0,176.729,175.9,176.555,177.62,175.55,362922
14-03-2024 00:00:00 EDT,43705840.0,178.4157,177.69,178.75,179.53,176.465,461845
15-03-2024 00:00:00 EDT,71805390.0,175.0471,176.64,174.42,177.93,173.9,465349
18-03-2024 00:00:00 EDT,31251524.0,175.088,175.8,174.48,176.69,174.28,358833
19-03-2024 00:00:00 EDT,26862093.0,175.3683,174.215,175.9,176.09,173.52,318060
20-03-2024 00:00:00 EDT,29947150.0,176.6897,176.14,178.15,178.53,174.64,355615
21-03-2024 00:00:00 EDT,32824320.0,179.3211,179.988,178.15,181.415,178.15,377254
22-03-2024 00:00:00 EDT,27995378.0,178.5495,177.752,178.87,179.255,176.75,295011
25-03-2024 00:00:00 EDT,29815464.0,179.6492,178.01,179.71,180.99,177.24,352597
26-03-2024 00:00:00 EDT,29658982.0,179.1228,180.15,178.3,180.45,177.95,326743
27-03-2024 00:00:00 EDT,32672551.0,179.1032,179.88,179.83,180.0,177.3099,341920
28-03-2024 00:00:00 EDT,37970288.0,180.4856,180.17,180.38,181.7,179.26,364799
01-04-2024 00:00:00 EDT,29174521.0,180.9175,180.79,180.97,183.0,179.95,370612
02-04-2024 00:00:00 EDT,32605246.0,180.0752,179.07,180.69,180.79,178.3762,355847
03-04-2024 00:00:00 EDT,31024438.0,182.085,179.9,182.41,182.87,179.8,350781
04-04-2024 00:00:00 EDT,41624261.0,182.5315,184.0,180.0,185.1,180.0,465372
05-04-2024 00:00:00 EDT,42373992.0,184.7021,182.38,185.07,186.27,181.97,465500
08-04-2024 00:00:00 EDT,39221282.0,185.8041,186.9,185.19,187.29,184.81,427793
09-04-2024 00:00:00 EDT,36529846.0,185.5047,187.24,185.67,187.34,184.2,400970
10-04-2024 00:00:00 EDT,35879151.0,185.0344,182.765,185.95,186.2699,182.67,448182
11-04-2024 00:00:00 EDT,40020742.0,187.97,186.74,189.05,189.77,185.51,445674
12-04-2024 00:00:00 EDT,38474349.0,186.5585,187.72,186.13,188.38,185.08,420405
15-04-2024 00:00:00 EDT,45883331.0,185.5439,187.425,183.62,188.69,183.0,507779
16-04-2024 00:00:00 EDT,32189090.0,183.7052,183.27,183.32,184.83,182.26,400832
17-04-2024 00:00:00 EDT,30588798.0,182.0551,184.31,181.28,184.57,179.82,395747
18-04-2024 00:00:00 EDT,30438610.0,180.2708,181.47,179.22,182.39,178.65,383853
19-04-2024 00:00:00 EDT,55099718.0,175.546,178.74,174.63,179.0,173.44,569799
22-04-2024 00:00:00 EDT,37276971.0,176.7175,176.94,177.23,178.87,174.56,396237
