VWAP,Open,Close,High,Low,Trades,SMA_5,SMA_7
214.013,214.74,214.24,216.75,211.6,1032908,204.89399999999995,202.11714285714297
212.7632,213.85,212.49,215.17,211.3,793665,208.01399999999995,204.49142857142868
216.4079,213.37,216.67,218.95,212.72,1034894,212.72399999999993,207.66142857142867
214.7421,217.59,214.29,218.63,213.0,919913,214.15199999999996,210.14714285714294
210.647,213.93,209.68,214.24,208.85,1005250,213.474,212.51285714285726
208.6028,210.39,207.49,211.89,207.11,881776,212.12399999999997,212.56142857142868
209.3985,207.72,208.14,212.7,206.59,916066,211.254,211.85714285714297
209.7069,209.15,209.07,211.38,208.61,621125,209.734,211.11857142857156
213.1428,211.5,213.25,214.86,210.64,769036,209.526,211.22714285714298
213.9094,214.69,214.1,215.7395,212.35,644311,210.41,210.8600000000001
212.5954,215.77,210.62,216.07,210.3,729816,211.03599999999997,210.3357142857144
215.4872,212.09,216.75,217.51,211.92,784772,212.758,211.3457142857144
219.183,216.15,220.27,220.38,215.1,689939,214.998,213.17142857142866
220.6457,220.0,221.55,221.55,219.03,566735,216.658,215.08714285714296
224.943,221.65,226.34,226.45,221.65,767327,219.106,217.55428571428584
226.3221,227.09,227.82,227.85,223.25,790011,222.546,219.63571428571439
228.2117,227.93,228.68,229.4,226.3721,651012,224.932,221.71857142857155
231.6381,229.3,232.98,233.08,229.25,782437,227.474,224.91285714285726
228.4762,231.39,227.57,232.39,225.77,889216,228.67800000000005,226.45857142857153
230.9692,228.92,230.54,232.64,228.68,706216,229.51800000000003,227.92571428571438
234.9202,236.48,234.4,237.23,233.09,822606,230.8340000000001,229.7614285714287
234.2992,235.0,234.82,236.27,232.33,623906,232.06200000000004,230.97285714285726
228.8396,229.45,228.88,231.4599,226.64,811024,231.242,231.12428571428583
225.181,230.28,224.18,230.44,222.27,844538,230.564,230.4814285714287
224.7356,224.82,224.31,226.8,223.275,612739,229.31800000000004,229.24285714285725
225.0185,227.01,223.96,227.78,223.09,704830,227.23,228.72714285714298
225.0222,224.365,225.01,226.94,222.68,551646,225.26800000000003,227.937142857143
219.0874,224.0,218.54,224.8,217.13,816074,223.20000000000005,225.67142857142866
218.12,218.93,217.49,220.85,214.62,737563,221.862,223.1957142857144
217.8992,218.7,217.96,219.49,216.01,608504,220.59200000000004,221.63571428571439
218.1319,216.96,218.24,219.3,215.75,604680,219.44800000000004,220.78714285714295
218.4059,219.19,218.8,220.325,216.12,584305,218.20600000000005,220.00000000000009
222.3441,221.44,222.08,223.82,220.63,668833,218.91400000000004,219.73142857142867
219.4773,224.37,218.36,224.48,217.02,876046,219.088,218.78142857142868
221.9519,219.15,219.86,225.6,217.71,1132479,219.468,218.9700000000001
207.801,199.09,209.27,213.5,196.0,1661493,217.67400000000004,217.7957142857144
206.739,205.3,207.23,209.99,201.07,921946,215.36000000000004,216.26285714285726
210.7375,206.9,209.82,213.64,206.39,741607,212.90800000000004,215.06000000000012
212.5961,213.11,213.31,214.2,208.83,628674,211.89800000000005,214.2757142857144
215.1632,212.1,216.24,216.78,211.97,589409,211.1740000000001,213.4414285714287
217.5472,216.07,217.53,219.5099,215.6,602475,212.82600000000008,213.32285714285726
220.8583,219.01,221.27,221.89,219.01,553206,215.63400000000007,213.52428571428587
221.5032,220.57,221.72,223.03,219.7,568467,218.01400000000007,215.30285714285728
224.545,224.6,224.72,225.35,222.76,590509,220.2960000000001,217.80142857142872
225.4078,223.92,226.05,226.8271,223.6501,562568,222.2580000000001,220.12000000000015
224.8178,225.72,225.89,225.99,223.04,606301,223.93000000000012,221.917142857143
226.5304,225.77,226.51,227.17,225.45,498745,224.97800000000012,223.38428571428585
226.4472,226.52,226.4,227.98,225.05,506589,225.91400000000013,224.65142857142874
225.6144,227.79,224.53,228.34,223.9,586130,225.87600000000012,225.11714285714302
226.5769,225.6589,226.84,228.22,224.33,555099,226.0340000000001,225.84857142857157
225.9536,226.76,227.18,227.28,223.8905,565367,226.2920000000001,226.20000000000013
227.7868,225.995,228.03,228.85,224.89,491807,226.5960000000001,226.48285714285728
227.4445,227.92,226.49,229.86,225.68,563091,226.61400000000012,226.5685714285716
231.0131,230.1,229.79,232.92,228.88,723070,227.6660000000001,227.037142857143
228.9102,230.19,229.0,230.4,227.48,594026,228.09800000000013,227.40857142857158
223.8154,228.55,222.77,229.0,221.17,813544,227.21600000000012,227.15714285714301
219.9426,221.66,220.85,221.78,217.48,679903,225.78000000000011,226.30142857142872
223.133,221.625,222.38,225.48,221.52,587991,224.95800000000008,225.6157142857144
221.6809,223.95,220.82,225.24,219.77,663919,223.16400000000007,224.5857142857144
219.3513,220.82,220.91,221.27,216.71,945401,221.5460000000001,223.78857142857154
219.5763,218.92,220.11,221.48,216.73,684884,221.01400000000012,222.40571428571442
221.1679,221.455,222.66,223.09,217.89,609436,221.37600000000012,221.50000000000017
222.3887,222.5,222.77,223.55,219.82,556880,221.45400000000012,221.50000000000017
222.925,223.58,222.5,224.04,221.91,541838,221.79000000000013,221.73571428571447
215.9298,216.54,216.32,217.22,213.92,870701,220.87200000000016,220.87000000000018
216.1735,215.75,216.79,216.9,214.5,651393,220.20800000000017,220.2942857142859
220.4441,217.55,220.69,222.71,217.54,832968,219.81400000000016,220.2628571428573
228.385,224.99,228.87,229.82,224.63,808483,221.0340000000002,221.5142857142859
229.0164,229.97,228.2,233.09,227.62,971653,222.1740000000002,222.30571428571446
227.0625,227.34,226.47,229.45,225.81,693243,224.20400000000024,222.8342857142859
227.2442,228.645,227.37,229.35,225.73,519517,226.32000000000025,223.5300000000002
225.8328,224.93,226.37,227.29,224.02,564547,227.45600000000024,224.9657142857145
227.2682,227.3,227.52,228.5,225.41,433069,227.18600000000023,226.49857142857167
228.1557,228.46,227.79,229.52,227.3,504046,227.1040000000002,227.51285714285737
231.9696,230.04,233.0,233.0,229.65,710005,228.41000000000025,228.10285714285737
225.9623,229.52,226.21,229.65,223.74,832034,228.1780000000002,227.81857142857166
226.0301,225.89,226.78,227.37,223.02,504646,228.26000000000025,227.86285714285737
224.9801,225.14,225.67,226.805,223.32,516279,227.89000000000024,227.6200000000002
225.8453,227.9,226.8,228.0,224.13,558114,227.69200000000023,227.6814285714288
223.3102,224.5,221.69,225.69,221.33,607187,225.43000000000023,226.84857142857166
225.0202,224.3,225.77,225.98,223.25,495458,225.34200000000024,226.56000000000023
228.2639,225.23,229.54,229.75,224.83,519212,225.89400000000023,226.0657142857145
228.5405,227.78,229.04,229.5,227.17,446786,226.56800000000027,226.47000000000023
228.0383,229.3,227.55,229.41,227.34,485404,226.71800000000025,226.5800000000002
230.6959,228.7,231.3,231.73,228.6,580463,228.64000000000024,227.3842857142859
234.85,233.61,233.85,237.49,232.37,827448,230.25600000000023,228.39142857142878
231.0936,231.6,231.78,232.12,229.84,551037,230.70400000000024,229.83285714285734
232.0685,233.43,232.15,233.85,230.52,487565,231.32600000000025,230.74428571428592
235.2273,236.18,235.0,236.18,234.01,562442,232.81600000000023,231.52428571428592
235.9263,234.45,236.48,236.85,234.45,538639,233.85200000000023,232.58714285714308
234.8426,233.885,235.86,236.22,232.6,489115,234.25400000000027,233.77428571428592
231.1335,234.08,230.76,235.144,227.76,721999,234.05000000000027,233.69714285714306
230.0667,229.98,230.57,230.82,228.41,490738,233.7340000000003,233.22857142857166
231.6772,229.74,231.41,233.22,229.57,551600,233.0160000000003,233.17571428571452
233.5717,233.32,233.4,234.73,232.55,557059,232.40000000000032,233.35428571428594
233.5864,233.1,233.67,234.325,232.32,484029,231.9620000000003,233.16428571428597
230.9294,232.61,230.1,233.2299,229.55,593539,231.8300000000003,232.25285714285738
226.6984,229.34,225.91,229.83,225.37,767796,230.8980000000003,230.83142857142883
222.8069,220.965,222.91,225.35,220.27,859056,229.19800000000032,229.71000000000026
221.7547,220.99,222.01,222.79,219.71,647102,226.92000000000036,228.48714285714314
223.094,221.795,223.45,223.95,221.14,501988,224.87600000000035,227.35000000000028
223.8587,222.61,222.72,226.065,221.19,796494,223.40000000000032,225.82428571428596
226.7564,224.625,227.48,227.875,224.57,623113,223.7140000000003,224.94000000000025
227.2234,227.17,226.96,228.66,226.405,541011,224.52400000000029,224.49142857142883
223.4111,225.0,224.23,225.7,221.5,555026,224.9680000000003,224.25142857142882
224.3829,224.55,224.23,225.59,223.355,462513,225.1240000000003,224.44000000000025
224.8974,224.01,225.12,226.65,222.76,467151,225.60400000000027,224.884285714286
227.3879,225.02,228.22,228.87,225.0,491961,225.7520000000003,225.56571428571456
225.0903,226.4,225.0,226.92,224.27,451195,225.36000000000027,225.89142857142883
228.0885,225.25,228.02,229.74,225.17,437675,226.11800000000025,225.9685714285717
228.6862,226.98,228.28,230.16,226.66,364844,226.92800000000025,226.1571428571431
228.0359,228.06,229.0,229.93,225.89,358379,227.70400000000024,226.83857142857167
228.4642,228.88,228.52,230.155,225.7103,431589,227.76400000000027,227.4514285714288
229.6738,228.06,229.87,230.7199,228.06,380543,228.73800000000028,228.13000000000025
232.2878,231.46,232.87,233.245,229.74,510511,229.70800000000025,228.79428571428596
234.7366,233.33,235.06,235.57,233.33,449908,231.06400000000025,230.2314285714288
234.7888,234.465,234.93,235.69,233.8101,339772,232.25000000000028,231.2185714285717
236.5349,234.805,237.33,237.81,233.97,268866,234.01200000000023,232.5114285714288
239.4822,237.27,239.59,240.79,237.16,469551,235.95600000000027,234.02428571428595
241.5718,239.81,242.65,242.76,238.9,419286,237.91200000000023,236.0428571428574
242.9068,242.87,243.01,244.11,241.25,406580,239.5020000000003,237.92000000000024
243.0041,243.99,243.04,244.54,242.13,401171,241.12400000000025,239.37285714285736
243.2142,242.905,242.84,244.63,242.08,366463,242.22600000000023,240.48428571428593
245.9999,241.83,246.75,247.24,241.75,500703,243.65800000000027,242.17285714285734
247.2604,246.89,247.77,248.21,245.34,423276,244.6820000000003,243.6642857142859
248.2768,247.96,246.49,250.8,246.2601,455514,245.3780000000003,244.65000000000023
247.7304,246.89,247.96,248.74,245.68,352924,246.3620000000003,245.40857142857163
247.7396,247.815,248.13,249.2902,246.24,349747,247.4200000000003,246.14000000000019
250.4112,247.99,251.04,251.38,247.65,448109,248.2780000000003,247.28285714285735
252.9545,250.08,253.48,253.83,249.78,487548,249.4200000000003,248.80285714285736
250.6309,252.16,248.05,254.28,247.74,564238,249.73200000000028,248.98857142857165
249.8476,247.5,249.79,252.0,247.0949,532743,250.09800000000027,249.27714285714305
253.1175,248.04,254.49,255.0,245.69,550815,251.37000000000023,250.42000000000021
254.7388,254.77,255.27,255.65,253.45,422514,252.21600000000024,251.46428571428592
257.4366,255.49,258.2,258.21,255.29,245915,253.16000000000025,252.90285714285733
258.928,258.19,259.02,260.1,257.63,362309,255.35400000000027,254.04285714285734
255.2263,257.83,255.59,258.7,253.06,474853,256.51400000000024,254.3442857142859
252.2717,252.23,252.2,253.5,250.75,421590,256.05600000000027,254.93714285714304
250.7349,252.44,250.42,253.28,249.43,361194,255.0860000000003,255.02714285714305
244.3548,248.93,243.85,249.1,241.8201,685396,252.21600000000024,253.50714285714304
243.0704,243.36,243.36,244.18,241.89,493718,249.0840000000003,251.80571428571446
245.1849,244.31,245.0,247.33,243.2,493845,246.96600000000024,249.92000000000016
242.9748,242.98,242.21,245.55,241.35,462820,244.96800000000025,247.51857142857162
242.2441,241.92,242.7,243.7123,240.05,406816,243.42400000000023,245.67714285714305
236.5833,240.01,236.85,240.16,233.0,685843,242.02400000000023,243.4842857142859
232.6052,233.53,234.4,234.67,229.72,561138,240.23200000000023,241.19571428571447
233.9709,234.75,233.28,236.12,232.472,436253,237.88800000000023,239.68571428571448
237.5547,234.635,237.87,238.96,234.43,418689,237.02000000000027,238.90142857142877
230.6435,237.35,228.26,238.01,228.03,786024,234.13200000000023,236.5100000000002
